signal_time,entry_time,exit_time,calendar_year,trend_regime,volatility_regime,regime,trend_90d,volatility_30d,trend_threshold_past_median,volatility_threshold_past_median,exit_reason,net_return,initial_risk_return,result_r
2021-05-23T20:00:00+00:00,2021-05-23T21:00:00+00:00,2021-05-24T07:00:00+00:00,2021,weak,high,weak_high,-0.3759706007359104,0.34051743310050425,0.5445420961028015,0.27191148072941757,take,0.1054340844892997,0.07982556336697465,1.3208060180495986
2021-05-25T21:00:00+00:00,2021-05-25T22:00:00+00:00,2021-05-26T02:00:00+00:00,2021,weak,high,weak_high,-0.22160795123633403,0.34948262430431615,0.536266846415367,0.27283140769322267,take,0.07198529995418601,0.054738974965639446,1.3150648144100683
2021-05-27T09:00:00+00:00,2021-05-27T10:00:00+00:00,2021-05-28T01:00:00+00:00,2021,weak,high,weak_high,-0.15398367093159115,0.3512301789284471,0.5305321154178368,0.273194124353971,stop,-0.042602337327387066,0.041502337327387034,-1.0265045313309173
2021-05-30T05:00:00+00:00,2021-05-30T06:00:00+00:00,2021-05-31T06:00:00+00:00,2021,weak,high,weak_high,-0.23589789069420097,0.36270511206104167,0.5182743335206343,0.2740942954686231,time,0.007206785682640216,0.04274332381149289,0.16860611295517558
2021-06-02T05:00:00+00:00,2021-06-02T06:00:00+00:00,2021-06-02T13:00:00+00:00,2021,weak,high,weak_high,-0.2591175887348669,0.3678577052292568,0.4982336415330866,0.27479815150444203,take,0.04316353123058035,0.033197648422935225,1.3001984562484856
2021-06-04T21:00:00+00:00,2021-06-04T22:00:00+00:00,2021-06-04T23:00:00+00:00,2021,weak,high,weak_high,-0.23446498786226688,0.366177282746808,0.4860398985633294,0.2754638216360461,stop,-0.03131317577580428,0.030313175775804314,-1.0329889552779277
2021-06-05T00:00:00+00:00,2021-06-05T01:00:00+00:00,2021-06-05T09:00:00+00:00,2021,weak,high,weak_high,-0.23410624789821632,0.36681948291482586,0.4842762628522207,0.27546902623713904,stop,-0.03217313047906978,0.03117313047906979,-1.0320789084904836
2021-06-06T05:00:00+00:00,2021-06-06T06:00:00+00:00,2021-06-07T01:00:00+00:00,2021,weak,high,weak_high,-0.28629779991844995,0.370412865559003,0.47857142857142865,0.27560941216082047,take,0.03666640110087292,0.02832480082565468,1.2944981087973966
2021-06-08T20:00:00+00:00,2021-06-08T21:00:00+00:00,2021-06-09T01:00:00+00:00,2021,weak,high,weak_high,-0.4039207681432485,0.3738902533607126,0.46067957201428644,0.2758646296780361,stop,-0.040859633476449164,0.039859633476449045,-1.025088038016982
2021-06-12T10:00:00+00:00,2021-06-12T11:00:00+00:00,2021-06-13T03:00:00+00:00,2021,weak,high,weak_high,-0.4098994213703807,0.3716251974823242,0.43658075751284486,0.27607444931291936,stop,-0.025822431899132026,0.024822431899132087,-1.0402861413443902
2021-06-19T14:00:00+00:00,2021-06-19T15:00:00+00:00,2021-06-19T18:00:00+00:00,2021,weak,high,weak_high,-0.3669325808662379,0.3086766842059423,0.2562789065817088,0.2818046170695693,stop,-0.02565258984848696,0.024552589848486857,-1.0448017910447804
2021-06-20T18:00:00+00:00,2021-06-20T19:00:00+00:00,2021-06-20T19:00:00+00:00,2021,weak,low,weak_low,-0.38263513278149686,0.2861568926169404,0.23784522233999972,0.2917071559198318,take,0.028135718431256174,0.021851788823442225,1.2875704894728186
2021-06-21T02:00:00+00:00,2021-06-21T03:00:00+00:00,2021-06-21T04:00:00+00:00,2021,weak,low,weak_low,-0.35658765665155245,0.2812577577890149,0.2231307269298669,0.2861584610648713,stop,-0.02643095375141613,0.025430953751416123,-1.0393221587273078
2021-06-30T18:00:00+00:00,2021-06-30T19:00:00+00:00,2021-06-30T21:00:00+00:00,2021,weak,low,weak_low,-0.40802122863136636,0.2716629430615152,-0.01486040733173355,0.28104515259623325,take,0.03309155937052932,0.025568669527897006,1.2942229682473065
