period,months,trades,expectancy_r,total_r,top_1_r,top_1_profit_share,without_top_1_r,without_top_1_expectancy_r,top_3_r,top_3_profit_share,without_top_3_r,without_top_3_expectancy_r,top_5_r,top_5_profit_share,without_top_5_r,without_top_5_expectancy_r
2023-07,3,1,-0.291547763359075,-0.291547763359075,-0.291547763359075,1.0,0,,-0.291547763359075,1.0,0,,-0.291547763359075,1.0,0,
2023-10,3,4,0.6695695947212728,2.678278378885091,1.267550375893246,0.4732705852708633,1.4107280029918452,0.4702426676639484,3.7601078622447774,1.4039271988634836,-1.0818294833596864,-1.0818294833596864,2.678278378885091,1.0,0,
2024-01,3,8,0.528736481248476,4.229891849987808,1.3061599864862123,0.30879276180311255,2.923731863501596,0.41767598050022803,3.904972196926587,0.9231848792866517,0.32491965306122156,0.0649839306122443,6.456838877450167,1.5264784789873003,-2.226947027462358,-0.7423156758207861
2024-04,3,9,-0.010234031014767676,-0.09210627913290909,1.3057782076158562,-14.176864160711803,-1.3978844867487652,-0.17473556084359565,3.790167758626045,-41.14993890000533,-3.882274037758954,-0.6470456729598256,4.09306299577985,-44.43847948600304,-4.185169274912759,-1.0462923187281898
2024-07,3,8,0.45739494031767236,3.659159522541379,1.2943839895807527,0.35373805968474703,2.364775532960626,0.3378250761372323,3.872424222941082,1.0582824277230705,-0.21326470039970352,-0.04265294007994071,5.004352124063336,1.3676233827017432,-1.3451926015219575,-0.44839753384065245
2024-10,3,7,0.18519700007849857,1.29637900054949,1.2863834128874814,0.992289610015457,0.00999558766200856,0.0016659312770014266,3.83806125260137,2.9606012215367183,-2.5416822520518805,-0.6354205630129701,3.389026046280073,2.614224732769956,-2.0926470457305832,-1.0463235228652916
2021-01,6,80,0.07501595432779166,6.001276346223333,1.3208060180495986,0.22008751836278892,4.680470328173735,0.05924645985030044,3.949664256840043,0.658137374281324,2.0516120893832905,0.02664431284913364,6.5749084768326655,1.0955850218379504,-0.5736321306093323,-0.007648428408124431
2021-07,6,30,-0.046142109373674134,-1.384263281210224,1.305712472860244,-0.9432544304134794,-2.689975754070468,-0.09275778462311958,3.895976892549731,-2.814476801800004,-5.280240173759955,-0.19556445087999832,6.479321440974346,-4.680700217165083,-7.863584722184569,-0.31454338888738276
2022-01,6,18,-0.15578047215745405,-2.804048498834173,1.304390695451364,-0.4651812177976539,-4.108439194285537,-0.24167289378150217,3.8939387467608704,-1.3886845211057641,-6.697987245595043,-0.4465324830396696,6.452700913306368,-2.3012087401445376,-9.256749412140541,-0.712057647087734
2022-07,6,16,0.18601770874957357,2.976283339993177,1.3162131657026146,0.4422338249911488,1.6600701742905628,0.11067134495270418,3.9094759515288646,1.3135429342348255,-0.9331926115356872,-0.07178404704120671,6.4930995272511405,2.1816133699374283,-3.5168161872579633,-0.3197105624779967
2023-01,6,4,0.02951785993886335,0.1180714397554534,1.2719439044276715,10.772663626886313,-1.153872464672218,-0.38462415489073937,1.1829548157312562,10.01897510677741,-1.0648833759758027,-1.0648833759758027,0.1180714397554534,1.0,0,
2023-07,6,5,0.47734612310520325,2.3867306155260164,1.267550375893246,0.531082296279125,1.1191802396327701,0.27979505990819253,3.7601078622447774,1.5754219758965464,-1.3733772467187615,-0.6866886233593807,2.3867306155260164,1.0,0,
2024-01,6,17,0.2433991512267588,4.137785570854899,1.3061599864862123,0.3156664269135506,2.831625584368687,0.17697659902304294,3.916436542063583,0.9465054375097587,0.22134902879131646,0.01581064491366546,6.48826516598977,1.5680525379784827,-2.3504795951348703,-0.1958732995945725
2024-07,6,15,0.33036923487272457,4.955538523090869,1.2943839895807527,0.26119946067403776,3.661154533510116,0.2615110381078654,3.8735582733513243,0.7816624278677402,1.0819802497395445,0.09016502081162871,6.440138751798889,1.2995840354767427,-1.4846002287080207,-0.14846002287080207
