signal_ts,signal_time,entry_time,exit_time,calendar_year,quarter,half_year,regime,exit_reason,gross_return,funding_return,cost_return,net_return,initial_risk_return,result_r
1619096400000,2021-04-22T13:00:00+00:00,2021-04-22T14:00:00+00:00,2021-04-22T20:00:00+00:00,2021,2021-04,2021-01,strong_low,stop,-0.03169832239700254,0.0,0.001,-0.032698322397002544,0.03169832239700252,-1.0315474108527138
1619200800000,2021-04-23T18:00:00+00:00,2021-04-23T19:00:00+00:00,2021-04-24T10:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.058781296337327205,0.0,0.001,-0.059781296337327205,0.05878129633732721,-1.0170122141277953
1619373600000,2021-04-25T18:00:00+00:00,2021-04-25T19:00:00+00:00,2021-04-25T20:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.02585832825822154,0.0,0.001,-0.026858328258221542,0.025858328258221683,-1.0386722602487617
1619391600000,2021-04-25T23:00:00+00:00,2021-04-26T00:00:00+00:00,2021-04-26T00:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.03884479318829159,0.0,0.001,0.03784479318829159,0.029133594891218636,1.2990086987067517
1619640000000,2021-04-28T20:00:00+00:00,2021-04-28T21:00:00+00:00,2021-04-29T12:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.03335064010416078,0.0,0.001,0.03235064010416078,0.025012980078120653,1.2933540906810428
1619704800000,2021-04-29T14:00:00+00:00,2021-04-29T15:00:00+00:00,2021-04-29T18:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.02234803418123421,0.0,0.001,-0.023348034181234212,0.02234803418123429,-1.0447466650484911
1620086400000,2021-05-04T00:00:00+00:00,2021-05-04T01:00:00+00:00,2021-05-04T05:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.039397691031628934,0.0,0.001,0.03839769103162893,0.02954826827372172,1.2994904024807878
1620108000000,2021-05-04T06:00:00+00:00,2021-05-04T07:00:00+00:00,2021-05-04T13:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.04572389319039116,0.0,0.001,0.04472389319039116,0.034292919892793323,1.304172795148596
1620151200000,2021-05-04T18:00:00+00:00,2021-05-04T19:00:00+00:00,2021-05-04T23:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.04274375478610015,0.0,0.001,-0.04374375478610015,0.04274375478610011,-1.0233952306016232
1620208800000,2021-05-05T10:00:00+00:00,2021-05-05T11:00:00+00:00,2021-05-06T11:00:00+00:00,2021,2021-04,2021-01,weak_low,time,0.04285912568919237,0.0,0.001,0.04185912568919237,0.039747054967057556,1.0531377915643134
1620316800000,2021-05-06T16:00:00+00:00,2021-05-06T17:00:00+00:00,2021-05-06T18:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.024717794033016993,0.0,0.001,-0.025717794033016994,0.024717794033017,-1.0404566847132166
