date,daily_return,equity_multiple
2024-04-20,-0.0018423590,5.9077379954
2024-04-21,0.0069034949,5.9485220344
2024-04-22,0.0128344794,6.0248682178
2024-04-23,-0.0014555547,6.0160986926
2024-04-24,0.0076341662,6.0620265901
2024-04-25,-0.0002792424,6.0603338151
2024-04-26,-0.0078754580,6.0126059104
2024-04-27,0.0040170416,6.0367587983
2024-04-28,0.0094228770,6.0936424336
2024-04-29,0.0059986043,6.1301957833
2024-04-30,-0.0005497899,6.1268254637
2024-05-01,-0.0008468955,6.1216366830
2024-05-02,0.0007796653,6.1264095105
2024-05-03,0.0016188483,6.1363272379
2024-05-04,0.0070389368,6.1795204573
2024-05-05,0.0029771909,6.1979180697
2024-05-06,0.0024471075,6.2130850416
2024-05-07,0.0027908975,6.2304251254
2024-05-08,0.0135127345,6.3146152057
2024-05-09,-0.0039586318,6.2896179688
2024-05-10,0.0049635274,6.3208366597
2024-05-11,0.0004432311,6.3236382508
2024-05-12,0.0041635699,6.3499671608
2024-05-13,-0.0029117899,6.3314773904
2024-05-14,-0.0068770308,6.2879356254
2024-05-15,-0.0008691234,6.2824706331
2024-05-16,0.0258921540,6.4451373303
2024-05-17,0.0039792065,6.4707838625
2024-05-18,-0.0016609519,6.4600362014
2024-05-19,0.0020433404,6.4732362544
2024-05-20,-0.0027687774,6.4553133039
2024-05-21,0.0089019846,6.5127784036
2024-05-22,0.0034625986,6.5353295410
2024-05-23,0.0016747771,6.5462747610
2024-05-24,0.0018652814,6.5584854058
2024-05-25,-0.0054193498,6.5229426794
2024-05-26,0.0007158373,6.5276120449
2024-05-27,-0.0028217891,6.5091925006
2024-05-28,0.0047192785,6.5399111926
2024-05-29,0.0004165821,6.5426356024
2024-05-30,0.0069112644,6.5878534872
2024-05-31,-0.0053057075,6.5529002632
2024-06-01,0.0027235721,6.5707475593
2024-06-02,0.0039380633,6.5966235790
2024-06-03,-0.0098477052,6.5316619747
2024-06-04,-0.0125003430,6.4500139595
2024-06-05,-0.0001069531,6.4493241108
2024-06-06,-0.0046877915,6.4190910241
2024-06-07,0.0119294613,6.4956673219
2024-06-08,0.0100542802,6.5609765812
2024-06-09,-0.0049700105,6.5283684590
2024-06-10,-0.0092746176,6.4678203382
2024-06-11,-0.0029419093,6.4487925977
2024-06-12,0.0004239291,6.4515264285
2024-06-13,-0.0031135024,6.4314395854
2024-06-14,0.0026186263,6.4482811222
2024-06-15,0.0046430751,6.4782209759
2024-06-16,-0.0005252194,6.4748184888
2024-06-17,-0.0197577866,6.3468904070
2024-06-18,-0.0070623619,6.3020663698
2024-06-19,0.0033301661,6.3230532977
2024-06-20,-0.0032040172,6.3027941261
2024-06-21,-0.0016426299,6.2924409683
2024-06-22,0.0078924601,6.3421038075
2024-06-23,-0.0010954258,6.3351565032
2024-06-24,0.0050241849,6.3669855005
2024-06-25,0.0011372073,6.3742260830
2024-06-26,0.0054132508,6.4087313678
2024-06-27,0.0164889434,6.5144045762
2024-06-28,0.0017309901,6.5256809460
2024-06-29,-0.0004597382,6.5226808409
2024-06-30,0.0046687501,6.5531336077
2024-07-01,0.0021593390,6.5672840444
2024-07-02,0.0115710279,6.6432742717
2024-07-03,-0.0052084941,6.6086728169
2024-07-04,-0.0092212471,6.5477326116
2024-07-05,0.0152529151,6.6476046210
2024-07-06,0.0165239575,6.7574493573
2024-07-07,-0.0055087893,6.7202239928
2024-07-08,-0.0013707300,6.7110123801
2024-07-09,0.0028303320,6.7300067735
2024-07-10,0.0088912569,6.7898449929
2024-07-11,0.0109861671,6.8644393646
2024-07-12,-0.0052127465,6.8286567821
2024-07-13,-0.0329182532,6.6038693291
2024-07-14,0.0044766389,6.6334324677
2024-07-15,0.0054516002,6.6695952895
2024-07-16,0.0042661520,6.6980487966
2024-07-17,-0.0176192573,6.5800341517
2024-07-18,0.0081175412,6.6334478500
2024-07-19,-0.0013923469,6.6242117897
2024-07-20,-0.0055786904,6.5872573633
2024-07-21,0.0101644266,6.6542130574
2024-07-22,0.0045933133,6.6847779427
2024-07-23,0.0161260975,6.7925773238
2024-07-24,-0.0159460494,6.6842625499
2024-07-25,0.0064386629,6.7273002634
2024-07-26,-0.0078410386,6.6745512426
2024-07-27,-0.0008429665,6.6689248195
2024-07-28,-0.0004047854,6.6662253360
2024-07-29,0.0030952547,6.6868590013
2024-07-30,-0.0040611548,6.6597026319
2024-07-31,-0.0010731688,6.6525556465
2024-08-01,0.0093486089,6.7147477874
2024-08-02,0.0006833199,6.7193361079
2024-08-03,0.0026850500,6.7373778615
2024-08-04,-0.0047008962,6.7057061476
2024-08-05,-0.0089817196,6.6454773754
2024-08-06,0.0071378588,6.6929118544
2024-08-07,-0.0056459298,6.6551241439
2024-08-08,-0.0021882036,6.6405613771
2024-08-09,0.0028067431,6.6591997270
2024-08-10,-0.0037160543,6.6344537794
2024-08-11,0.0005237199,6.6379283749
2024-08-12,0.0048887737,6.6703797047
2024-08-13,-0.0045093960,6.6403003211
2024-08-14,0.0007524545,6.6452968452
2024-08-15,-0.0062716845,6.6036196399
2024-08-16,0.0069119810,6.6492637332
2024-08-17,0.0045434134,6.6794740870
2024-08-18,0.0015576442,6.6898783308
2024-08-19,-0.0059774988,6.6498895914
2024-08-20,0.0047174886,6.6812603695
2024-08-21,0.0049987146,6.7146580832
2024-08-22,0.0071175569,6.7624500445
2024-08-23,-0.0017539965,6.7505887306
2024-08-24,-0.0079273291,6.6970745919
2024-08-25,0.0059778188,6.7371084904
2024-08-26,-0.0049710576,6.7036179360
2024-08-27,0.0001382708,6.7045448504
2024-08-28,-0.0010468956,6.6975258919
2024-08-29,-0.0022117789,6.6827124455
2024-08-30,0.0079222807,6.7356547692
2024-08-31,-0.0046732006,6.7041777030
2024-09-01,-0.0040529359,6.6770061006
2024-09-02,0.0026540530,6.6947272288
2024-09-03,0.0047163290,6.7263017648
2024-09-04,0.0013748092,6.7355491466
2024-09-05,0.0111781556,6.8108401631
2024-09-06,0.0156007937,6.9170946753
2024-09-07,0.0020465931,6.9312511538
2024-09-08,0.0033805036,6.9546822730
2024-09-09,0.0037202038,6.9805551086
2024-09-10,0.0048294711,7.0142674980
2024-09-11,-0.0019623823,7.0005028235
2024-09-12,-0.0006631054,6.9958607526
2024-09-13,-0.0016544014,6.9842867909
2024-09-14,0.0030060082,7.0052816141
2024-09-15,0.0045347615,7.0370488958
2024-09-16,0.0060335565,7.0795073279
2024-09-17,0.0076168188,7.1334306525
2024-09-18,0.0059658160,7.1759873872
2024-09-19,0.0073780093,7.2289318891
2024-09-20,0.0004605692,7.2322613128
2024-09-21,0.0033960258,7.2568222590
2024-09-22,0.0046764118,7.2907581481
2024-09-23,-0.0051819812,7.2529775763
2024-09-24,-0.0129313810,7.1591865600
2024-09-25,-0.0086425848,7.0973126828
2024-09-26,-0.0045211106,7.0652249469
2024-09-27,-0.0006298219,7.0607751136
2024-09-28,-0.0025167226,7.0430051015
2024-09-29,0.0062020267,7.0866860071
2024-09-30,0.0099703032,7.1573424156
2024-10-01,0.0072113837,7.2089567579
2024-10-02,0.0214588177,7.3636524470
2024-10-03,0.0018497365,7.3772732635
2024-10-04,0.0042762695,7.4088204721
2024-10-05,0.0033908639,7.4339427742
2024-10-06,0.0049929348,7.4710599656
2024-10-07,0.0009893867,7.4784517331
2024-10-08,0.0133370422,7.5781921593
2024-10-09,-0.0049635416,7.5405774870
2024-10-10,-0.0066709028,7.4902750273
