active_assets,annualized_sharpe,daily_sharpe,exit,invalid_reason,key,long_net_pnl,long_trades,max_asset_positive_share,max_drawdown,median_fold_sharpe,net_return,positive_folds,short_net_pnl,short_trades,side,tf,trades,valid,z
10,-0.5411601189852647,-0.028325615222865405,tp11,,9d086dec31d53cb5b535,23212.492375775986,216,0.12816818937816835,-10.582096627088427,0.0,-9.111735677204862,0,-114329.84914782453,324,both,1d,540,True,2.0
10,-0.5662406132812076,-0.02963838829335379,tp11,,a481b7ce030555788637,16884.392235084153,1021,0.14404001659455887,-10.402345422612452,0.0,-7.296797951646831,0,-89852.37175155249,1033,both,4h,2054,True,3.0
10,-0.4680488501011924,-0.024498796508380508,time3,,a681d1144765f6cb8700,126729.40533571268,1688,0.1259836101832196,-15.467188478092371,0.0,-5.409638986985318,0,-180825.79520556584,1618,both,2h,3306,True,3.0
10,0.8580968205888574,0.04491484037948106,tp11,,b0d33a73e5ca1a464570,47273.11747946547,312,0.1484858514955021,-0.7054196131839343,1.5081376578098993,4.727311747946548,7,0.0,0,long,1d,312,True,2.0
10,-0.42645454368268065,-0.022321651006080835,time3,,b20575652650f2de18f2,32511.696046021025,1050,0.12135152786778693,-24.77402922755559,0.0,-19.531750898545763,0,-227829.205031479,1009,both,4h,2059,True,3.0
10,0.7049428175469366,0.03689839347622149,time3,,b89f54cd34e6b79c51ea,283458.2165669652,3723,0.16861729660656885,-0.30199944094843656,1.0881087786300365,28.345821656696522,6,0.0,0,long,2h,3723,True,2.0
10,0.6903368022541221,0.03613387969442373,tp11,,bebe9a1873836d4c8b56,24784.59620636304,1181,0.11956851985169353,-0.5531154028711149,0.39908910440425455,2.478459620636304,7,0.0,0,long,4h,1181,True,3.0
10,0.9567592386635708,0.05007906736757127,time3,,cafd3b8bfaa4b0a8630c,112788.52072549432,2095,0.12686119353140027,-0.8670974877603144,1.1163354132737844,11.278852072549432,8,0.0,0,long,2h,2095,True,3.0
10,0.45297815729020474,0.023709960393652578,time3,,cd95011db7299a94da29,662.5566329297113,495,0.1309380968460145,-1.0593592547357942,1.181166336515036,0.06625566329297113,8,0.0,0,long,1d,495,True,2.0
10,1.1135937598072503,0.058288161393029524,time3,,cfc814ff193c8dd77081,183692.65990763137,4725,0.1385058825133731,-0.4124515249013866,0.558753049508768,18.369265990763136,6,0.0,0,long,1h,4725,True,2.0
10,0.4073707566786134,0.021322759940926334,tp11,,d8244359dd571317dd25,-67415.61584275284,9710,0.12658424167349785,-1.5866562472430124,1.9338607418523128,-6.741561584275284,7,0.0,0,long,1h,9710,True,2.0
10,1.0685354260680364,0.055929700413913694,time3,,dd2b5ce7acb3155c5505,187847.7446035759,2435,0.15178712749001888,-0.4844621068439906,1.0989624599786139,18.78477446035759,8,0.0,0,long,4h,2435,True,2.0
10,-0.04108694464997491,-0.0021505889735936863,tp11,,e2b22d84b8e0a4be0c9c,-11128.942357407212,2345,0.12356041460713495,-1.1266704768070652,0.44270821312831476,-1.1128942357407212,7,0.0,0,long,2h,2345,True,3.0
10,-0.1217348550386565,-0.006371893534028463,time3,,e48e499d30763c5e4137,-25675.712548264702,168,0.14251362324301012,-4.026712338543387,0.0,-2.56757125482647,2,0.0,0,long,1d,168,True,3.0
10,-0.42645454368268065,-0.022321651006080835,time3,,eb956eeb24566f997cf5,2481.6614865321408,441,0.12338772322189427,-14.343787338106422,0.0,-12.013656878111014,0,-122618.23026764234,618,both,1d,1059,True,2.0
10,-0.5205809552144947,-0.027248452560413118,tp11,,edf1b62f14b09556829e,-1477.134182787203,127,0.14389691914509484,-8.300846935581161,0.0,-7.482445180277519,0,-73347.31761998798,173,both,1d,300,True,3.0
10,-0.5420311650010488,-0.02837120785509923,time3,,ef21bb062d5a083970c1,-26734.166080895546,160,0.18362664642857737,-11.011780669969289,0.0,-9.46945545855803,0,-67960.38850468473,231,both,1d,391,True,3.0
10,-0.6060188395714785,-0.03172047581720727,tp11,,f0bcd5c8492b3ddc65a3,30440.17514696658,1746,0.11870444971441499,-20.92778181790287,0.0,-14.473884093559958,0,-175179.0160825661,1825,both,4h,3571,True,2.0
10,-0.32037004850756,-0.01676893474702441,tp11,,f839c157bd1db2c8e873,-73746.99454519711,4528,0.11945188118915186,-1.8254962925438392,0.0,-7.374699454519711,4,0.0,0,long,1h,4528,True,3.0
