active_assets,annualized_sharpe,daily_sharpe,episodes,invalid_reason,k_per_side,key,lookback_days,max_asset_positive_share,max_drawdown,median_fold_sharpe,net_equity,net_return,positive_folds,rebal_days,stop_style,take_code,valid
10,1.2499303343252606,0.06542434385570252,2660,,3,407b1e4006de49cee5c3,3,0.1516178059340124,-0.264573215034409,1.2722182078898103,9.933046699293472,8.933046699293472,9,1,atr3,f1:2,True
10,1.261519863249066,0.06603096752472962,2636,,3,50aa22a2ba6208998900,3,0.15602803525362732,-0.2670048164314456,1.3562665841837327,10.37788609911224,9.37788609911224,9,1,atr3,p1:1.5+BU,True
10,1.3286000304867298,0.06954210395108416,1223,,2,82e27a04da654a895ade,7,0.3363129440093085,-0.2977298439882041,0.7704913028037836,8.975281334700863,7.975281334700863,9,1,atr3,none,True
10,1.3176327333364437,0.06896804938162264,1247,,2,871260eb129b03e9c6e7,7,0.34435501206808816,-0.2947240135776974,0.6464250059278429,8.781211717338344,7.781211717338344,9,1,atr3,f1:2,True
10,1.3271387538359263,0.06946561723542886,1223,,2,8f3898b0d63409d8d2a6,7,0.3363129440093085,-0.2978297093397453,0.7656154478696386,8.948661318305632,7.948661318305632,9,1,atr3,p1:2+BU,True
10,1.3320986937364403,0.06972523235528273,1224,,2,900aa51f538646c8677a,7,0.33476413192547794,-0.2979234536873526,0.7618263191450833,9.045331556182969,8.045331556182969,9,1,atr3,p1:1+BU,True
10,1.2621227227370158,0.06606252263252495,2636,,3,97e0a185b3e3ea26186a,3,0.15602803525362732,-0.26694272331168223,1.3567146627814195,10.391523823690205,9.391523823690205,9,1,atr3,p1:2+BU,True
10,1.263605845700814,0.06614015283646443,2637,,3,9c5d396730f9f4584c3c,3,0.15566186032328735,-0.26713633318140406,1.3544878435830434,10.426884637221942,9.426884637221942,9,1,atr3,p1:1+BU,True
10,1.2628422134920723,0.06610018249985286,2636,,3,a589f387e1de1530bade,3,0.15602803525362732,-0.2668706856140719,1.3578398280535455,10.408283373015516,9.408283373015516,9,1,atr3,none,True
10,1.2624740136838457,0.06608091004106097,2636,,3,ad43ff155d1d8f41ffdc,3,0.15602803525362732,-0.2669390790666718,1.3578398280535466,10.399747333900635,9.399747333900635,9,1,atr3,p1:3+BU,True
10,0.8093851876326704,0.04236515697971085,1895,,2,b14c266fff642bbdef2a,7,0.29059939498766524,-0.35128823214348337,1.0812293652827898,3.347030196633592,2.347030196633592,7,1,atr2flip,none,True
10,1.3687975314925123,0.07164613731656123,1233,,2,c0eb893ba33f3c1ae4eb,7,0.3379116238416544,-0.29772984398820335,1.1580213055284792,9.342270365174716,8.342270365174716,9,1,atr3,f1:3,True
10,1.245853961863351,0.06521097676930737,2712,,3,c3fc46836cdb5a8801fc,3,0.15880871312315253,-0.23049518658032986,1.2605134413267325,9.836924197311832,8.836924197311832,8,1,atr3,f1:1,True
10,1.1346011743417108,0.059387739724940124,2713,,3,ccaa2bb74fdfb422a2d4,3,0.19057791604619617,-0.2549731461476936,1.043607550067049,7.885564111842758,6.885564111842758,7,1,atr2,none,True
10,1.32648129144272,0.0694312040809481,1223,,2,d9f85a79e6df030e3d0c,7,0.3363129440093085,-0.29782930636104576,0.7642326880449547,8.937326745538375,7.937326745538375,9,1,atr3,p1:1.5+BU,True
10,1.261519863249066,0.06603096752472962,2636,,3,e541128fe653c46d8745,3,0.15602803525362732,-0.2670048164314456,1.3562665841837327,10.37788609911224,9.37788609911224,9,1,atr3,p1:1.5,True
10,0.4452389221460894,0.02330487031195449,3696,,3,ea686575b440172fe348,3,0.2390937386527671,-0.4645253922060064,0.4772218327227806,1.6398518393538049,0.6398518393538049,6,1,atr2flip,none,True
10,1.3280038772594314,0.06951089986501444,1223,,2,ebc1d162bb4dd0d2d6fc,7,0.3363129440093085,-0.297729843988203,0.7690141716893375,8.963835938947351,7.963835938947351,9,1,atr3,p1:3+BU,True
10,1.2621227227370158,0.06606252263252495,2636,,3,ed72831c5076c8d6b807,3,0.15602803525362732,-0.26694272331168223,1.3567146627814195,10.391523823690205,9.391523823690205,9,1,atr3,p1:2,True
10,1.2957334409372372,0.06782178802866837,2647,,3,f73e403870f80a11dc2d,3,0.15604285573303486,-0.2652157518385928,1.357839828053543,11.15591708939763,10.15591708939763,9,1,atr3,f1:3,True
