side,signal_time,entry_time,exit_time,entry,exit,exit_reason,gross_return,funding_return,cost_return,net_return,initial_risk_return,result_r,mae_r,mfe_r
long,2021-02-11T09:00:00+00:00,2021-02-11T10:00:00+00:00,2021-02-12T10:00:00+00:00,1768.61,1770.84,time,0.0012608771860387336,-0.00323165,0.001,-0.0029707728139612664,0.027987727650527816,-0.10614555247414811,-0.573542595234787,1.1810250129420798
long,2021-02-12T19:00:00+00:00,2021-02-12T20:00:00+00:00,2021-02-13T07:00:00+00:00,1845.38,1808.13625,stop,-0.0201821576043959,0.0,0.001,-0.0211821576043959,0.020182157604395845,-1.0495487162275579,-1.0573586172176563,0.8994797784863254
long,2021-02-15T11:00:00+00:00,2021-02-15T12:00:00+00:00,2021-02-16T12:00:00+00:00,1789.36,1804.2,time,0.008293468055617703,-0.00194083,0.001,0.005352638055617703,0.02512455570706845,0.213044087944282,-0.920882512407722,1.1181827028680316
long,2021-02-18T23:00:00+00:00,2021-02-19T00:00:00+00:00,2021-02-19T02:00:00+00:00,1941.12,1903.409375,stop,-0.019427250762446446,0.0,0.001,-0.020427250762446447,0.01942725076244642,-1.051474087210171,-1.2495152228317579,0.3903409185077178
long,2021-02-23T22:00:00+00:00,2021-02-23T23:00:00+00:00,2021-02-24T23:00:00+00:00,1569.69,1623.98,time,0.03458644700545954,0.0,0.001,0.03358644700545954,0.07636898049933426,0.4397917424830927,-0.5722597900949428,1.204164733239138
long,2021-02-26T14:00:00+00:00,2021-02-26T15:00:00+00:00,2021-02-26T20:00:00+00:00,1517.97,1455.83375,stop,-0.040933779982476604,0.0,0.001,-0.041933779982476604,0.04093377998247662,-1.024429700858999,-1.1743547446136517,0.7353195598382581
long,2021-02-28T20:00:00+00:00,2021-02-28T21:00:00+00:00,2021-03-01T09:00:00+00:00,1408.99,1487.1291666666666,take,0.05545757362839088,-0.0001,0.001,0.05435757362839087,0.04159318022129326,1.3068866900579772,-0.25049324389177624,1.7491868141243696
long,2021-03-06T19:00:00+00:00,2021-03-06T20:00:00+00:00,2021-03-06T21:00:00+00:00,1622.17,1667.835,take,0.02815056375102487,0.0,0.001,0.02715056375102487,0.02111292281326863,1.2859689769699638,0.0,1.5139238658345222
long,2021-03-16T07:00:00+00:00,2021-03-16T08:00:00+00:00,2021-03-17T08:00:00+00:00,1799.78,1782.59,time,-0.009551167364900137,-0.00034812,0.001,-0.010899287364900138,0.02418559490604408,-0.45065202684662353,-0.9138787582919317,0.45900697814662894
long,2021-03-23T17:00:00+00:00,2021-03-23T18:00:00+00:00,2021-03-23T20:00:00+00:00,1717.17,1679.81625,stop,-0.021753087929558546,0.0,0.001,-0.022753087929558546,0.021753087929558528,-1.045970484891076,-1.2287922899307315,0.14108355921426757
long,2021-03-25T21:00:00+00:00,2021-03-25T22:00:00+00:00,2021-03-26T16:00:00+00:00,1611.33,1665.835,take,0.03382609397206049,-0.0001,0.001,0.032726093972060485,0.02536957047904526,1.289974302051805,-0.8238999480169981,1.4051310277344604
long,2021-04-01T06:00:00+00:00,2021-04-01T07:00:00+00:00,2021-04-01T08:00:00+00:00,1917.95,1969.1541666666667,take,0.026697341779851724,0.0,0.001,0.025697341779851723,0.020023006334888845,1.2833907830851405,-0.17055903653674126,1.4386850028480773
long,2021-04-01T18:00:00+00:00,2021-04-01T19:00:00+00:00,2021-04-02T14:00:00+00:00,1970.57,2024.895,take,0.02756816555615882,-0.00172251,0.001,0.024845655556158818,0.02067612416711919,1.2016592353256588,-0.5063353275042167,2.6855652707470403
long,2021-04-03T03:00:00+00:00,2021-04-03T04:00:00+00:00,2021-04-03T16:00:00+00:00,2098.34,2058.118125,stop,-0.01916842599388091,-0.0022965,0.001,-0.022464925993880912,0.019168425993880894,-1.1719755185455683,-1.176971486287005,0.8840960298345144
long,2021-04-04T13:00:00+00:00,2021-04-04T14:00:00+00:00,2021-04-05T03:00:00+00:00,2082.61,2032.9350000000002,stop,-0.023852281512141027,-0.00072788,0.001,-0.025580161512141028,0.023852281512140985,-1.0724408689844005,-1.1597382989431326,0.22365374937090876
long,2021-04-08T07:00:00+00:00,2021-04-08T08:00:00+00:00,2021-04-09T00:00:00+00:00,2029.41,2097.0083333333337,take,0.03330935263615209,-0.00038906,0.001,0.03192029263615209,0.024982014477114067,1.2777309318027237,-0.8633348948445474,1.3528933159101546
