key,family,signal_tf_minutes,fast_window,slow_window,entry_threshold,exit_threshold,stop_atr,take_atr,max_holding_bars,valid,zero_trade,invalid_reason,trades,net_pnl,net_return,daily_sharpe,annualized_sharpe,median_fold_sharpe,positive_folds,max_drawdown,active_assets,max_asset_positive_share,long_trades,short_trades,long_net_pnl,short_net_pnl,missing_bars,funding_events
c4ee899dc1a11c72f231,A,15,5,34,0.005,0.0,2.5,3.0,12,True,False,,85061,-66422.6494581171,-0.664226494581171,-0.0533388134065501,-1.0190365992940835,0.0,0,-6.642264945811676,10,0.14683503314998433,43740,41321,-32461.082871060637,-33961.566587055655,9,9202
c4eff411ec544de20b6d,A,15,8,13,0.005,0.003,2.5,4.0,24,True,False,,18717,-33101.783830139364,-0.33101783830139364,-0.04132921725878294,-0.7895935870538994,0.0,0,-3.227465871048608,10,0.15479593765773325,9453,9264,-10861.831479520117,-22239.952350619136,2,4184
c4f5ef258e29646f3c79,A,15,3,13,0.0,0.0,2.0,2.0,24,True,False,,111016,-77962.08760604358,-0.7796208760604358,-0.08094345765043386,-1.54642258706628,0.0,0,-7.482077516213543,10,0.1419826228098642,55469,55547,-38568.71949194157,-39393.36811410182,8,19403
c4f96e8378c4bd934575,A,15,8,34,0.005,0.0,1.5,4.0,24,True,False,,51829,-50177.253734295744,-0.5017725373429575,-0.05030632492295751,-0.9611009881629371,0.0,0,-4.992626351750692,10,0.14412777953053643,26990,24839,-23823.706287040775,-26353.547447255318,7,9507
c50150ab64dd788d4cc3,A,15,8,13,0.005,0.0,2.0,2.0,12,True,False,,29564,-40523.305316985636,-0.40523305316985636,-0.05125338104596093,-0.9791944699877039,0.0,0,-3.998576445279561,10,0.15543573958491447,14931,14633,-14586.71705659016,-25936.588260395678,2,3271
c5020685077010176f2d,B,60,5,13,0.01,0.0,1.5,2.0,24,True,False,,29122,-32339.784260790035,-0.32339784260790033,-0.020696079232084576,-0.3953980385471882,0.0,0,-3.1826859992170604,10,0.16730647563069675,14613,14509,-13870.922456072258,-18468.861804717748,2,5607
c50ab4e345ebfea532a2,A,60,3,21,0.01,0.003,2.0,4.0,24,True,False,,49587,-37668.6329201945,-0.37668632920194495,-0.0648357820666797,-1.2386858771344187,0.0,0,-3.297343445484337,10,0.15489558055043467,25139,24448,-14444.05129413484,-23224.58162605965,5,9336
c51fc2134d4bf2fa593c,A,60,3,13,0.0,0.003,2.0,2.0,48,True,False,,49054,-40327.50905042814,-0.4032750905042814,-0.03662958444082209,-0.6998072281365563,0.0,1,-3.2748944884752285,10,0.15805650985365408,24523,24531,-18572.38524784122,-21755.12380258696,8,18173
c521add66fa2bfb10eed,A,15,8,34,0.0,0.003,2.0,4.0,24,True,False,,87463,-67148.72485118143,-0.6714872485118143,-0.03650874118659519,-0.6974985210062269,0.0,0,-6.634752385457005,10,0.13633295505612372,44289,43174,-32720.44177394893,-34428.283077233384,9,17761
c527a64c927d975c2f32,A,15,5,13,0.0,0.0,2.5,2.0,24,True,False,,105304,-76832.60650890581,-0.7683260650890581,-0.033496264181967515,-0.6399452286438881,0.0,0,-7.2637315026687705,10,0.13476727076455133,52565,52739,-37365.22021905555,-39467.386289851944,7,19725
c5557769b1eb6c41f659,A,60,8,13,0.0,0.003,1.5,2.0,12,True,False,,139939,-80789.8551788431,-0.8078985517884311,-0.0012882692989853515,-0.024612350398702198,0.0,0,-8.074024535136589,10,0.15404207907495523,69779,70160,-36884.37262735875,-43905.482551486464,7,10063
c555fdac6575eef494fd,A,15,5,13,0.01,0.0,1.5,3.0,48,True,False,,15000,-29329.73256674738,-0.2932973256674738,-0.07660943547712543,-1.4636212097073487,0.0,0,-2.869702548963027,10,0.1558746723371175,7478,7522,-9681.309571780754,-19648.422994966557,2,3814
