cost_scenario,vwap_hours,stop_atr,take_atr,hold_hours,is_baseline,is_immediate_neighbor,threshold,rv_median,trades,expectancy_r,total_r,profit_factor_r,max_drawdown_r,best_5_share
round_trip_0_12pct,48,1.2,1.5,24,False,False,0.017587255115610878,0.03188585280881554,24,0.1752080681498109,4.204993635595462,1.3825281647263366,-5.322768754610038,1.4184600652345007
round_trip_0_16pct,48,1.2,1.5,24,False,False,0.017587255115610878,0.03188585280881554,24,0.1503625541674033,3.608701300017679,1.3205215299062536,-5.692764924788224,1.6269850365595941
round_trip_0_05pct,48,1.2,1.5,36,False,False,0.017587255115610878,0.03188585280881554,24,0.2514049282572353,6.033718278173647,1.5811763434011017,-3.8900624014811473,1.01561130166229
round_trip_0_10pct,48,1.2,1.5,36,False,False,0.017587255115610878,0.03188585280881554,24,0.22034803577922588,5.288352858701421,1.4942870560402972,-4.352557614203878,1.1367002112622329
round_trip_0_12pct,48,1.2,1.5,36,False,False,0.017587255115610878,0.03188585280881554,24,0.20792527878802214,4.990206690912531,1.460956344164072,-4.5375556992929695,1.1952642277361627
round_trip_0_16pct,48,1.2,1.5,36,False,False,0.017587255115610878,0.03188585280881554,24,0.18307976480561453,4.393914355334749,1.3965839937140836,-4.9075518694711535,1.3362351975325688
round_trip_0_05pct,48,1.2,1.5,48,False,False,0.017587255115610878,0.03188585280881554,24,0.27274219823520657,6.545812757644958,1.6305020134662132,-3.6951843526942767,0.9361576172802382
round_trip_0_10pct,48,1.2,1.5,48,False,False,0.017587255115610878,0.03188585280881554,24,0.24168530575719716,5.800447338172732,1.5421510468585116,-4.063154906286011,1.0363462438758768
round_trip_0_12pct,48,1.2,1.5,48,False,False,0.017587255115610878,0.03188585280881554,24,0.22926254876599342,5.502301170383842,1.5082596351386857,-4.2103431277227035,1.0840220049680243
round_trip_0_16pct,48,1.2,1.5,48,False,False,0.017587255115610878,0.03188585280881554,24,0.20441703478358586,4.906008834806061,1.4428043925211504,-4.504719570596091,1.1967575302530038
round_trip_0_05pct,48,1.2,2.0,12,False,False,0.017587255115610878,0.03188585280881554,22,0.2037558802261791,4.48262936497594,1.5021784777523202,-5.013075863209062,1.8256734599415556
round_trip_0_10pct,48,1.2,2.0,12,False,False,0.017587255115610878,0.03188585280881554,22,0.17159400808859612,3.7750681779491146,1.4054699508983919,-5.399819420243537,2.1282533752314765
round_trip_0_12pct,48,1.2,2.0,12,False,False,0.017587255115610878,0.03188585280881554,22,0.15872925923356299,3.4920437031383855,1.3689838707982294,-5.588198495718308,2.283618396844641
round_trip_0_16pct,48,1.2,2.0,12,False,False,0.017587255115610878,0.03188585280881554,22,0.13299976152349655,2.925994753516924,1.299452898055026,-5.96495664666785,2.684516961924617
round_trip_0_05pct,48,1.2,2.0,24,False,False,0.017587255115610878,0.03188585280881554,21,0.13329359755940265,2.7991655487474554,1.2695888351998506,-6.177905424076853,2.921185999232633
round_trip_0_10pct,48,1.2,2.0,24,False,False,0.017587255115610878,0.03188585280881554,21,0.10106318783649491,2.1223269445663933,1.1983274820486864,-6.625677789492075,3.786401529435854
round_trip_0_12pct,48,1.2,2.0,24,False,False,0.017587255115610878,0.03188585280881554,21,0.08817102394733188,1.8515915028939696,1.1709950054801521,-6.804786735658164,4.309601490248117
round_trip_0_16pct,48,1.2,2.0,24,False,False,0.017587255115610878,0.03188585280881554,21,0.06238669616900566,1.3101206195491188,1.1182124589592937,-7.163004627990341,6.004714684650171
round_trip_0_05pct,48,1.2,2.0,36,False,False,0.017587255115610878,0.03188585280881554,21,0.24916573202031472,5.232480372426609,1.5022213677956562,-3.602912415021192,1.5627164611308986
round_trip_0_10pct,48,1.2,2.0,36,False,False,0.017587255115610878,0.03188585280881554,21,0.216935322297407,4.555641768245547,1.4231898428168934,-4.014195873328576,1.7639626638079369
round_trip_0_12pct,48,1.2,2.0,36,False,False,0.017587255115610878,0.03188585280881554,21,0.20404315840824397,4.2849063265731235,1.392983008352127,-4.204625501367686,1.862262764232782
round_trip_0_16pct,48,1.2,2.0,36,False,False,0.017587255115610878,0.03188585280881554,21,0.17825883062991776,3.743435443228273,1.3348150106684717,-4.585484757445907,2.101518950220041
round_trip_0_05pct,48,1.2,2.0,48,False,False,0.017587255115610878,0.03188585280881554,21,0.27594009463325425,5.794741987298339,1.556647085083974,-3.04924179910196,1.4110866762417622
round_trip_0_10pct,48,1.2,2.0,48,False,False,0.017587255115610878,0.03188585280881554,21,0.2437096849103465,5.117903383117277,1.475800044943212,-3.451934258456846,1.570170710017284
round_trip_0_12pct,48,1.2,2.0,48,False,False,0.017587255115610878,0.03188585280881554,21,0.2308175210211835,4.847167941444853,1.4449004319030068,-3.6423638864959584,1.6462440741890243
round_trip_0_16pct,48,1.2,2.0,48,False,False,0.017587255115610878,0.03188585280881554,21,0.20503319324285726,4.3056970581000025,1.3854001468797106,-4.02322314257418,1.828136742362219
round_trip_0_05pct,48,1.2,2.5,12,False,False,0.017587255115610878,0.03188585280881554,21,0.1071951031070182,2.251097165247382,1.225653402475778,-5.550838489707191,4.545715352084674
round_trip_0_10pct,48,1.2,2.5,12,False,False,0.017587255115610878,0.03188585280881554,21,0.07495154723514025,1.5739824919379453,1.1513932510565341,-6.053980699075147,6.397904315262384
round_trip_0_12pct,48,1.2,2.5,12,False,False,0.017587255115610878,0.03188585280881554,21,0.06205412488638914,1.3031366226141718,1.1233453162550835,-6.255237582822331,7.677726323839695
round_trip_0_16pct,48,1.2,2.5,12,False,False,0.017587255115610878,0.03188585280881554,21,0.03625928018888678,0.7614448839666224,1.069847457771719,-6.657751350316698,12.968765706240628
round_trip_0_05pct,48,1.2,2.5,24,False,False,0.017587255115610878,0.03188585280881554,19,0.24721083450704776,4.697005855633908,1.5021174364490604,-4.721638488264742,2.182291012397171
round_trip_0_10pct,48,1.2,2.5,24,False,False,0.017587255115610878,0.03188585280881554,19,0.21492705207674315,4.08361398945812,1.423436067033445,-5.1364106293920795,2.476147541693857
round_trip_0_12pct,48,1.2,2.5,24,False,False,0.017587255115610878,0.03188585280881554,19,0.20201353910462136,3.838257242987806,1.3932709193823536,-5.302319485843013,2.6199884310812878
round_trip_0_16pct,48,1.2,2.5,24,False,False,0.017587255115610878,0.03188585280881554,19,0.1761865131603777,3.3475437500471763,1.335038967579203,-5.634137198744882,2.9709267381013738
round_trip_0_05pct,48,1.2,2.5,36,False,False,0.017587255115610878,0.03188585280881554,19,0.39590590468128406,7.522212188944398,1.801089365071035,-2.1582205362535216,1.3626621273714947
round_trip_0_10pct,48,1.2,2.5,36,False,False,0.017587255115610878,0.03188585280881554,19,0.36362212225097945,6.90882032276861,1.711671714339,-2.38222284071444,1.4635828214984288
round_trip_0_12pct,48,1.2,2.5,36,False,False,0.017587255115610878,0.03188585280881554,19,0.3507086092788577,6.663463576298296,1.6775231858228263,-2.476453785316581,1.5091535290913152
round_trip_0_16pct,48,1.2,2.5,36,False,False,0.017587255115610878,0.03188585280881554,19,0.3248815833346141,6.172750083357667,1.6118084235162984,-2.6649156745208664,1.611163112012717
