scheme,cost_scenario,year,trades,expectancy_r,total_r,profit_factor_r,max_drawdown_r,compounded_return
rolling_12m_3m,round_trip_0_12pct,2024,63,0.03314992785288361,2.088445454731667,1.0727366448681104,-6.853047142284574,0.1371155836818616
rolling_12m_3m,round_trip_0_16pct,2022,25,-0.0029622450470811966,-0.07405612617702992,0.9943489020971729,-4.943650385204983,-0.14697035397594038
rolling_12m_3m,round_trip_0_16pct,2023,18,0.32281992200913634,5.810758596164454,1.9346053076289786,-2.4887726982203526,0.06261326161830039
rolling_12m_3m,round_trip_0_16pct,2024,63,0.011566972476894694,0.7287192660443658,1.0247402987315584,-7.946210889370684,0.10886293182327966
anchored_18m_6m,round_trip_0_05pct,2022,9,0.16599975711771017,1.4939978140593915,1.395930864199395,-2.2361398524441007,0.0710733476605836
anchored_18m_6m,round_trip_0_05pct,2023,3,0.7116113318925841,2.1348339956777522,5.5809068341002215,-0.46602868667532604,0.036950250600530365
anchored_18m_6m,round_trip_0_05pct,2024,32,0.3270437178619882,10.465398971583623,2.100561103105965,-3.0827262160169036,0.2967964353763286
anchored_18m_6m,round_trip_0_10pct,2022,9,0.14889900539365084,1.3400910485428574,1.3467541291534688,-2.2965209641458912,0.06629639658103348
anchored_18m_6m,round_trip_0_10pct,2023,3,0.6799203115531945,2.0397609346595837,5.070166117455338,-0.5011493083566916,0.035414147689329045
anchored_18m_6m,round_trip_0_10pct,2024,32,0.3050343571764028,9.76109942964489,1.9987057101678452,-3.15181276451659,0.2763666625909891
anchored_18m_6m,round_trip_0_12pct,2022,9,0.14205870470402712,1.2785283423362441,1.3277278743603325,-2.3206734088266074,0.06439092416499936
anchored_18m_6m,round_trip_0_12pct,2023,3,0.6672439034174388,2.0017317102523164,4.885367240083239,-0.5151975570292378,0.03480013150473038
anchored_18m_6m,round_trip_0_12pct,2024,32,0.2962306129021687,9.479379612869398,1.9594912055699738,-3.179447383916464,0.2682823567077184
anchored_18m_6m,round_trip_0_16pct,2022,9,0.1283781033247797,1.1554029299230173,1.2907242878211211,-2.368978298188041,0.0605890556178339
anchored_18m_6m,round_trip_0_16pct,2023,3,0.6418910871459271,1.9256732614377814,4.544440153418264,-0.5432940543743302,0.033572827408473005
anchored_18m_6m,round_trip_0_16pct,2024,32,0.27862312435370035,8.915939979318411,1.8835299601091429,-3.2347166227162134,0.2522622904641918
rolling_18m_6m,round_trip_0_05pct,2022,9,0.16599975711771017,1.4939978140593915,1.395930864199395,-2.2361398524441007,0.0710733476605836
rolling_18m_6m,round_trip_0_05pct,2023,9,0.43146836896748564,3.8832153207073707,2.5057740462214935,-1.5334550096780437,0.056196747983004336
rolling_18m_6m,round_trip_0_05pct,2024,61,0.08264297817900192,5.041221668919117,1.1817757514518907,-4.604865823994739,0.21936111587663087
rolling_18m_6m,round_trip_0_10pct,2022,9,0.14889900539365084,1.3400910485428574,1.3467541291534688,-2.2965209641458912,0.06629639658103348
rolling_18m_6m,round_trip_0_10pct,2023,9,0.3982582977849474,3.584324680064527,2.325726618842677,-1.6218385497929888,0.05148153524932564
rolling_18m_6m,round_trip_0_10pct,2024,61,0.054948484793141746,3.3518575723816464,1.1170596233823857,-5.350965462891357,0.1828314132728408
rolling_18m_6m,round_trip_0_12pct,2022,9,0.14205870470402712,1.2785283423362441,1.3277278743603325,-2.3206734088266074,0.06439092416499936
rolling_18m_6m,round_trip_0_12pct,2023,9,0.38497426931193224,3.4647684238073904,2.258276834552446,-1.6571919658389664,0.04960069544689483
rolling_18m_6m,round_trip_0_12pct,2024,61,0.043870687438797754,2.676111933766663,1.0922988422398545,-5.73107382225799,0.16852284509378612
rolling_18m_6m,round_trip_0_16pct,2022,9,0.1283781033247797,1.1554029299230173,1.2907242878211211,-2.368978298188041,0.0605890556178339
rolling_18m_6m,round_trip_0_16pct,2023,9,0.35840621236590164,3.225655911293115,2.1304565544413903,-1.7278987979309226,0.045847984843655265
rolling_18m_6m,round_trip_0_16pct,2024,61,0.021715092730109586,1.3246206565366847,1.044578332884802,-6.491290540991264,0.14041456740630665
