scheme,cost_scenario,window,calibration_start,calibration_stop,oos_start,oos_stop,threshold,rv_median,trades,expectancy_r,total_r,profit_factor_r,max_drawdown_r,compounded_return
anchored_12m_3m,round_trip_0_16pct,1,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,2022-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,0.01940523603707689,0.04322712021612439,2,0.10859001874484009,0.21718003748968018,1.2027377500361784,-1.0712363013347266,0.0207303013636273
anchored_12m_3m,round_trip_0_16pct,2,2021-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,2022-04-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,0.018199021423260353,0.0418686457834596,9,-0.27602988586576477,-2.4842689727918827,0.6015549643884492,-3.907089832387019,-0.21670361102628488
anchored_12m_3m,round_trip_0_16pct,3,2021-01-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,2022-07-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,0.0167624136641491,0.04083439712497367,6,0.32426009486062357,1.9455605691637414,2.03590660243089,-1.3136628107446697,0.05971759744262184
anchored_12m_3m,round_trip_0_16pct,4,2021-01-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,2022-10-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,0.016727192022051307,0.04074835215937162,3,-0.263385879746908,-0.7901576392407241,0.623034145484035,-1.0553154874433714,0.0008223494422618938
anchored_12m_3m,round_trip_0_16pct,5,2021-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0.015438276101015891,0.038793087499129984,1,1.2351102470842705,1.2351102470842705,,0.0,0.020119265956719534
anchored_12m_3m,round_trip_0_16pct,6,2021-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,0.014555020027725796,0.03706247553479495,0,,0,,0.0,0.0
anchored_12m_3m,round_trip_0_16pct,7,2021-01-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,2023-07-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,0.013365522312688283,0.03517827499143888,1,-0.5432940543743302,-0.5432940543743302,0.0,-0.5432940543743302,-0.007734687319937095
anchored_12m_3m,round_trip_0_16pct,8,2021-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,2023-10-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,0.011898233028001304,0.03324456199029916,3,0.4330119062921218,1.2990357188763653,2.1541740720495297,-1.125511090861361,0.020408141504971944
anchored_12m_3m,round_trip_0_16pct,9,2021-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,0.011221110225208664,0.03189387192757824,8,0.5055765166999244,4.044612133599395,2.764209389039759,-1.2055180220698571,0.11565628004617579
anchored_12m_3m,round_trip_0_16pct,10,2021-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,2024-04-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,0.011206124239028004,0.031254544727291826,9,-0.04213460108014948,-0.3792114097213453,0.9114974533281209,-3.2347166227162134,-0.02549565643970808
anchored_12m_3m,round_trip_0_16pct,11,2021-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2024-07-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,0.010889341083051063,0.03049836906673233,8,0.4478206460417798,3.5825651683342383,3.720734243996363,-1.0802749479643627,0.11861164638702704
anchored_12m_3m,round_trip_0_16pct,12,2021-01-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,2024-10-01T00:00:00+00:00,2024-12-31T18:00:00+00:00,0.010785108183154035,0.030009810387528656,7,0.23828201244373193,1.6679740871061235,1.759148891265753,-1.1239239285964808,0.029678803227823902
rolling_12m_3m,round_trip_0_05pct,1,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,2022-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,0.01940523603707689,0.04322712021612439,2,0.14851771419109816,0.2970354283821963,1.2905670160346416,-1.0222613441671007,0.02295552937575196
rolling_12m_3m,round_trip_0_05pct,2,2021-04-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,2022-04-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,0.017099510772168758,0.039839193121952166,10,-0.3166610832620693,-3.166610832620693,0.553010744896764,-4.752700359267902,-0.2437183227928844
rolling_12m_3m,round_trip_0_05pct,3,2021-07-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,2022-07-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,0.01399323117586726,0.036522808097565335,9,0.6127734272184333,5.514960844965899,4.74113648530805,-1.0224700706280068,0.14707963973135185
rolling_12m_3m,round_trip_0_05pct,4,2021-10-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,2022-10-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,0.013324572832723591,0.03597968116512935,4,-0.4344580413707658,-1.7378321654830633,0.4325641308635659,-2.049860659713058,-0.01178268658708348
rolling_12m_3m,round_trip_0_05pct,5,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0.011431985724523308,0.03405252165810479,2,0.1354856784119276,0.2709713568238552,1.262653829184875,-1.0316672620566505,0.004584444762130158
rolling_12m_3m,round_trip_0_05pct,6,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,0.009810605881710455,0.030951055318177313,3,0.03010564650646107,0.09031693951938322,1.0754486339565958,-1.0275064369602906,-0.003968296031722884
rolling_12m_3m,round_trip_0_05pct,7,2022-07-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,2023-07-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,0.0087056237010108,0.02581037886277187,1,-0.2614427725722322,-0.2614427725722322,0.0,-0.2614427725722322,-0.004342183235055086
rolling_12m_3m,round_trip_0_05pct,8,2022-10-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,2023-10-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,0.005531351537876983,0.01891389145192618,12,0.5915555242689615,7.098666291227539,3.227825984847427,-2.0708963235967683,0.08785718200179571
rolling_12m_3m,round_trip_0_05pct,9,2023-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,0.0054518342492813066,0.018701477653569318,18,0.15736152575203965,2.832507463536714,1.4387172123651526,-3.2129529462634085,0.10431735415583865
rolling_12m_3m,round_trip_0_05pct,10,2023-04-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,2024-04-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,0.005875559877624781,0.018972445767982363,21,-0.05132142695299134,-1.0777499660128183,0.9050619323981585,-3.840851248847251,-0.04992167351108523
