scheme,cost_scenario,window,side,signal_time,entry_time,exit_time,entry,exit,exit_reason,gross_return,funding_return,cost_return,net_return,initial_risk_return,result_r
anchored_12m_3m,round_trip_0_05pct,10,long,2024-04-27T18:00:00+00:00,2024-04-27T19:00:00+00:00,2024-04-28T02:00:00+00:00,3255.18,3310.115,take,0.01687617889026094,-9.322e-05,0.0005,0.016282958890260938,0.012657134167695792,1.2864649038657714
anchored_12m_3m,round_trip_0_05pct,10,long,2024-05-01T18:00:00+00:00,2024-05-01T19:00:00+00:00,2024-05-01T19:00:00+00:00,2988.2,2921.6706249999997,stop,-0.02226403018539591,0.0,0.0005,-0.02276403018539591,0.02226403018539587,-1.0224577489266977
anchored_12m_3m,round_trip_0_05pct,10,long,2024-05-01T21:00:00+00:00,2024-05-01T22:00:00+00:00,2024-05-02T01:00:00+00:00,2966.4,2898.63625,stop,-0.022843766855447756,8.6e-07,0.0005,-0.023342906855447758,0.022843766855447655,-1.0218501617162614
anchored_12m_3m,round_trip_0_05pct,10,long,2024-05-21T23:00:00+00:00,2024-05-22T00:00:00+00:00,2024-05-22T11:00:00+00:00,3792.33,3715.689375,stop,-0.020209376557419834,-0.00027641000000000005,0.0005,-0.020985786557419835,0.020209376557419844,-1.0384183053739444
anchored_12m_3m,round_trip_0_05pct,10,long,2024-06-14T21:00:00+00:00,2024-06-14T22:00:00+00:00,2024-06-15T12:00:00+00:00,3503.04,3561.4816666666666,take,0.016683128558813598,-0.0002,0.0005,0.0159831285588136,0.012512346419110245,1.2773885907124813
anchored_12m_3m,round_trip_0_05pct,10,long,2024-06-15T13:00:00+00:00,2024-06-15T14:00:00+00:00,2024-06-16T14:00:00+00:00,3568.2,3578.26,time,0.0028193486912169163,-0.0002,0.0005,0.0021193486912169162,0.0131964295723334,0.16060015927794413
anchored_12m_3m,round_trip_0_05pct,10,long,2024-06-25T03:00:00+00:00,2024-06-25T04:00:00+00:00,2024-06-26T04:00:00+00:00,3370.38,3385.93,time,0.004613723081670296,-0.0002,0.0005,0.003913723081670296,0.01894574944071591,0.20657525815576325
anchored_12m_3m,round_trip_0_05pct,11,long,2024-07-05T15:00:00+00:00,2024-07-05T16:00:00+00:00,2024-07-06T16:00:00+00:00,2989.97,3049.64,time,0.019956721973799052,-0.00026374,0.0005,0.019192981973799053,0.02907596062836749,0.6600979489246429
anchored_12m_3m,round_trip_0_05pct,11,long,2024-07-08T10:00:00+00:00,2024-07-08T11:00:00+00:00,2024-07-08T14:00:00+00:00,3013.07,2953.0150000000003,stop,-0.01993149843846964,0.0,0.0005,-0.020431498438469642,0.019931498438469707,-1.0250859212388612
anchored_12m_3m,round_trip_0_05pct,11,long,2024-07-08T19:00:00+00:00,2024-07-08T20:00:00+00:00,2024-07-09T08:00:00+00:00,3003.18,3107.5575,take,0.03475565900145838,-5.681e-05,0.0005,0.034198849001458385,0.026066744251093836,1.3119723994692318
anchored_12m_3m,round_trip_0_05pct,11,long,2024-08-05T15:00:00+00:00,2024-08-05T16:00:00+00:00,2024-08-06T16:00:00+00:00,2448.96,2529.46,time,0.03287109630210372,0.00019819,0.0005,0.03256928630210372,0.06557783712269695,0.49665081574993364
anchored_12m_3m,round_trip_0_05pct,11,long,2024-08-12T10:00:00+00:00,2024-08-12T11:00:00+00:00,2024-08-12T14:00:00+00:00,2639.81,2713.01,take,0.027729268394316442,0.0,0.0005,0.02722926839431644,0.020796951295737207,1.3092913479052903
